Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
351,Zeke Nnaji,DEN,22,53,34,19,13.7,5.2,2.1,3.7,56.1,0.3,1.2,26.2,0.8,1.2,64.5,1.2,1.4,2.6,0.3,0.6,0.3,0.4,2.0,10.5,1.0,0.0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Lindy Waters III,OKC,25,41,20,21,12.9,5.2,1.7,4.3,39.3,1.4,4.0,35.8,0.4,0.5,80.0,0.4,1.4,1.8,0.7,0.2,0.3,0.3,1.0,10.0,0.0,0.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Darius Bazley,PHX,23,43,19,24,14.3,5.2,1.9,4.3,45.4,0.5,1.2,37.7,0.9,1.6,54.3,0.8,2.4,3.2,0.9,0.6,0.5,0.8,1.0,13.7,0.0,0.0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Ricky Rubio,CLE,32,33,23,10,17.2,5.2,1.8,5.4,34.3,0.6,2.5,25.6,0.8,1.1,80.0,0.3,1.8,2.1,3.5,0.9,0.8,0.2,1.5,14.9,0.0,0.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Javonte Green,CHI,29,32,13,19,15.0,5.2,1.9,3.4,56.5,0.4,1.1,37.1,0.9,1.4,66.7,0.8,1.9,2.8,0.7,0.6,0.8,0.7,1.6,13.1,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
356,MarJon Beauchamp,MIL,22,52,34,18,13.5,5.1,1.8,4.7,39.5,0.9,2.7,33.1,0.5,0.7,73.0,0.7,1.5,2.2,0.7,0.9,0.4,0.1,1.3,9.5,0.0,0.0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
357,DeAndre Jordan,DEN,34,39,23,16,15.0,5.1,2.3,2.9,76.5,0.0,0.0,100.0,0.6,1.2,45.8,1.3,3.8,5.2,0.9,1.2,0.3,0.6,1.8,14.1,2.0,0.0,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
358,John Konchar,MEM,27,72,45,27,20.7,5.1,1.9,4.4,43.1,0.8,2.5,33.9,0.4,0.5,77.8,0.9,3.4,4.3,1.4,0.5,1.1,0.3,1.6,16.0,2.0,0.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
359,George Hill,IND,37,46,27,19,18.1,5.0,1.7,3.6,47.0,0.7,2.1,35.8,0.9,1.2,76.4,0.3,1.5,1.8,2.4,0.7,0.6,0.1,1.2,12.2,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Cody Martin,CHA,27,7,2,5,19.1,5.0,2.0,5.1,38.9,0.4,2.0,21.4,0.6,1.0,57.1,1.1,2.3,3.4,1.6,0.3,0.6,0.1,1.9,13.3,0.0,0.0,-3.7,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Jonathan Isaac,ORL,25,11,8,3,11.3,5.0,2.0,4.8,41.5,0.5,1.4,40.0,0.5,0.8,55.6,1.4,2.6,4.0,0.5,0.4,1.3,0.4,0.5,15.2,0.0,0.0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Kenneth Lofton Jr.,MEM,20,24,15,9,7.3,5.0,2.0,3.9,52.7,0.3,0.7,35.3,0.7,1.1,59.3,0.8,1.3,2.1,0.8,0.5,0.2,0.1,1.2,9.2,1.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Sam Merrill,CLE,27,5,4,1,11.7,5.0,1.8,4.4,40.9,1.0,3.6,27.8,0.4,0.4,100.0,0.0,1.8,1.8,1.0,0.0,0.8,0.0,0.6,11.1,0.0,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Derrick Jones Jr.,CHI,26,64,29,35,14.0,5.0,1.8,3.6,50.0,0.4,1.3,33.8,1.0,1.3,73.8,0.9,1.5,2.4,0.5,0.4,0.5,0.6,1.3,11.4,0.0,0.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Blake Wesley,SAS,20,37,9,28,18.1,5.0,1.9,5.8,32.1,0.5,1.4,38.5,0.7,1.2,59.1,0.3,1.9,2.2,2.6,1.8,0.7,0.1,1.8,12.3,0.0,0.0,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Jaxson Hayes,NOP,23,47,22,25,13.0,5.0,1.8,3.3,55.1,0.1,0.6,10.3,1.2,1.8,69.9,0.8,2.0,2.8,0.7,0.7,0.4,0.4,1.4,11.2,0.0,0.0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Isaiah Hartenstein,NYK,25,82,47,35,19.9,5.0,2.1,4.0,53.5,0.1,0.5,21.6,0.6,0.9,67.6,2.5,4.0,6.5,1.2,0.8,0.6,0.8,2.6,18.1,2.0,0.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Vlatko Cancar,DEN,26,60,38,22,14.8,5.0,1.8,3.8,47.6,0.7,1.9,37.4,0.6,0.7,92.7,0.4,1.7,2.1,1.3,0.6,0.4,0.2,1.4,10.7,1.0,0.0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Ousmane Dieng,OKC,20,39,20,19,14.6,4.9,1.9,4.6,42.0,0.7,2.5,26.5,0.4,0.6,65.2,0.5,2.2,2.7,1.2,0.7,0.4,0.2,1.1,10.9,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Austin Rivers,MIN,30,52,25,27,19.5,4.9,1.8,4.0,43.5,0.8,2.4,35.0,0.6,0.8,76.9,0.1,1.5,1.6,1.4,0.4,0.5,0.1,1.5,10.4,0.0,0.0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Chimezie Metu,SAC,26,66,41,25,10.4,4.9,2.0,3.3,58.9,0.1,0.6,23.7,0.8,1.1,74.0,0.7,2.3,3.0,0.6,0.5,0.3,0.3,1.2,10.8,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Johnny Juzang,UTA,22,18,6,12,12.9,4.8,1.9,5.8,33.7,0.8,3.5,23.8,0.1,0.2,50.0,0.4,1.7,2.2,0.4,0.2,0.2,0.2,0.7,9.1,0.0,0.0,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Moses Moody,GSW,21,63,37,26,13.0,4.8,1.7,3.6,47.6,0.8,2.1,36.3,0.6,0.8,69.8,0.4,1.2,1.7,0.8,0.5,0.3,0.1,0.9,8.7,0.0,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
