Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
251,Pat Connaughton,MIL,30,61,43,18,23.7,7.6,2.7,6.9,39.2,1.8,5.3,33.9,0.4,0.7,65.9,0.8,3.8,4.6,1.3,0.5,0.6,0.2,1.1,16.9,2.0,0.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Joe Harris,BKN,31,74,40,34,20.6,7.6,2.7,5.9,45.7,1.9,4.5,42.6,0.2,0.4,64.3,0.3,1.9,2.2,1.4,0.6,0.5,0.2,1.9,13.7,0.0,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Trey Lyles,SAC,27,74,43,31,16.9,7.6,2.5,5.5,45.8,1.2,3.2,36.3,1.4,1.7,81.5,0.9,3.1,4.1,0.9,0.9,0.4,0.4,1.3,15.3,1.0,0.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
254,T.J. Warren,PHX,29,42,26,16,16.4,7.5,3.1,6.4,48.9,0.5,1.6,32.8,0.7,0.8,80.0,0.6,2.3,2.9,1.0,0.5,0.5,0.3,1.5,14.3,0.0,0.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
255,Torrey Craig,PHX,32,79,44,35,24.7,7.4,2.9,6.3,45.6,1.3,3.2,39.5,0.4,0.6,71.1,1.8,3.6,5.4,1.5,0.9,0.6,0.8,2.3,19.5,4.0,0.0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Obi Toppin,NYK,25,67,37,30,15.7,7.4,2.8,6.3,44.6,1.3,3.7,34.4,0.6,0.7,80.9,0.4,2.4,2.8,1.0,0.6,0.3,0.2,1.0,13.2,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Trendon Watford,POR,22,62,26,36,19.1,7.4,2.9,5.2,56.0,0.4,1.0,39.1,1.2,1.6,72.0,0.7,3.2,3.8,2.1,1.1,0.5,0.2,1.9,16.1,3.0,0.0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Devonte' Graham,SAS,28,73,31,42,18.3,7.4,2.2,5.9,37.4,1.6,4.6,35.2,1.3,1.8,74.8,0.3,1.4,1.7,2.7,0.7,0.6,0.2,1.1,15.2,0.0,0.0,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Delon Wright,WAS,31,50,26,24,24.4,7.4,2.8,5.8,47.4,0.8,2.4,34.5,1.0,1.2,86.7,1.2,2.4,3.6,3.9,0.9,1.8,0.3,1.2,23.2,0.0,0.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Mitchell Robinson,NYK,25,59,35,24,26.9,7.4,3.2,4.7,67.1,0.0,0.0,0.0,1.0,2.1,48.4,4.5,4.9,9.4,0.9,0.7,0.9,1.8,2.7,27.7,13.0,0.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
