Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
501,Dylan Windler,CLE,26,3,3,0,3.5,1.7,0.7,1.0,66.7,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,2.8,0.0,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Alex Len,SAC,30,26,15,11,6.2,1.7,0.6,1.2,53.3,0.0,0.1,0.0,0.4,0.6,68.8,0.9,1.4,2.3,0.5,0.6,0.2,0.4,1.1,6.2,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Buddy Boeheim,DET,23,10,2,8,9.0,1.6,0.5,2.7,18.5,0.4,2.5,16.0,0.2,0.2,100.0,0.2,0.4,0.6,0.4,0.0,0.2,0.0,0.6,3.5,0.0,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
504,JD Davison,BOS,20,12,11,1,5.5,1.6,0.7,1.6,42.1,0.2,0.6,28.6,0.1,0.2,50.0,0.2,0.6,0.8,0.9,0.3,0.2,0.2,0.4,4.5,0.0,0.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Tony Bradley,CHI,25,12,5,7,2.8,1.6,0.5,1.0,50.0,0.3,0.4,60.0,0.3,0.3,100.0,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.2,3.2,0.0,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Isaiah Todd,WAS,21,6,2,4,10.2,1.5,0.5,3.2,15.8,0.2,1.7,10.0,0.3,0.3,100.0,0.3,1.7,2.0,0.7,0.3,0.2,0.0,0.7,5.1,0.0,0.0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Jordan Schakel,WAS,25,2,0,2,3.1,1.5,0.5,1.0,50.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,3.8,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Kendall Brown,IND,20,6,1,5,6.7,1.5,0.7,1.2,57.1,0.0,0.2,0.0,0.2,0.3,50.0,0.3,0.7,1.0,0.5,0.3,0.7,0.0,1.5,5.1,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Keon Ellis,SAC,23,16,7,9,4.4,1.5,0.4,1.0,43.8,0.4,0.8,50.0,0.3,0.4,57.1,0.3,0.3,0.5,0.4,0.1,0.3,0.1,0.6,3.7,0.0,0.0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Mfiondu Kabengele,BOS,25,4,3,1,9.1,1.5,0.5,1.8,28.6,0.0,0.8,0.0,0.5,0.5,100.0,1.3,1.3,2.5,0.0,0.3,0.5,0.0,0.8,5.8,0.0,0.0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
