Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
401,McKinley Wright IV,DAL,24,27,14,13,12.4,4.2,1.7,3.6,46.9,0.3,1.0,32.1,0.5,0.7,68.4,0.3,1.4,1.7,2.1,0.7,0.3,0.2,0.9,10.3,0.0,0.0,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Admiral Schofield,ORL,26,37,14,23,12.2,4.2,1.5,3.3,45.1,0.6,2.0,32.4,0.6,0.6,91.3,0.6,1.1,1.7,0.8,0.4,0.2,0.1,1.6,8.1,0.0,0.0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Ish Wainright,PHX,28,60,33,27,15.3,4.2,1.4,3.8,37.0,1.0,2.9,32.9,0.4,0.5,83.9,0.8,1.6,2.3,0.9,0.4,0.6,0.4,2.0,10.9,0.0,0.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Paul Reed,PHI,24,69,44,25,10.9,4.2,1.8,3.0,59.3,0.0,0.1,16.7,0.6,0.7,74.5,1.6,2.2,3.8,0.4,0.7,0.7,0.7,1.8,12.8,5.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Kevon Harris,ORL,26,34,12,22,13.4,4.1,1.4,3.1,43.9,0.5,1.3,37.2,0.9,1.2,75.6,0.8,1.2,2.1,0.5,0.6,0.5,0.1,1.6,8.6,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Blake Griffin,BOS,34,41,27,14,13.9,4.1,1.5,3.2,48.5,0.6,1.6,34.8,0.5,0.8,65.6,1.1,2.6,3.8,1.5,0.5,0.3,0.2,1.8,12.1,0.0,0.0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Matisse Thybulle,POR,26,71,38,33,16.9,4.1,1.5,3.6,43.5,0.8,2.1,36.5,0.3,0.4,67.9,0.6,1.4,2.0,0.7,0.3,1.2,0.5,1.6,12.1,0.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Serge Ibaka,MIL,33,16,11,5,11.6,4.1,1.6,3.4,48.1,0.4,1.1,33.3,0.5,0.8,61.5,0.9,1.8,2.8,0.3,0.7,0.1,0.4,1.4,8.8,0.0,0.0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Isaiah Roby,NYK,25,42,9,33,11.3,4.1,1.6,3.7,43.2,0.4,1.4,30.0,0.5,1.0,48.8,0.5,2.1,2.6,0.9,0.7,0.4,0.2,1.3,9.6,0.0,0.0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Olivier Sarr,OKC,24,9,5,4,12.6,4.0,1.7,3.3,50.0,0.1,0.9,12.5,0.6,0.8,71.4,1.3,2.1,3.4,0.4,0.4,0.1,0.6,1.9,10.4,1.0,0.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
