Unnamed: 0,Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,FP RANK,DD2 RANK,TD3 RANK,+/- RANK
301,Brandon Boston Jr.,LAC,21,22,9,13,11.3,6.5,2.3,5.5,41.8,0.5,1.3,41.4,1.3,1.7,76.3,0.3,1.0,1.4,0.9,0.5,0.4,0.0,1.0,10.2,0.0,0.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Jay Scrubb,ORL,22,2,1,1,15.1,6.5,2.5,3.5,71.4,1.0,1.0,100.0,0.5,1.0,50.0,0.0,3.0,3.0,0.5,1.5,1.0,0.0,1.0,12.4,0.0,0.0,-8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Luka Garza,MIN,24,28,15,13,8.7,6.5,2.3,4.1,54.3,0.5,1.4,35.9,1.5,1.9,78.8,1.2,1.1,2.3,0.6,0.5,0.1,0.1,1.5,10.2,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Isaac Okoro,CLE,22,76,48,28,21.7,6.4,2.3,4.7,49.4,0.8,2.3,36.3,1.0,1.4,75.7,0.7,1.8,2.5,1.1,0.6,0.7,0.4,2.1,14.0,0.0,0.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
305,R.J. Hampton,DET,22,47,9,38,15.9,6.4,2.2,5.0,43.0,0.9,2.5,35.3,1.2,1.6,75.0,0.4,1.5,1.9,1.1,0.9,0.6,0.2,1.1,11.8,0.0,0.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
306,JaMychal Green,GSW,33,57,30,27,14.0,6.4,2.4,4.4,54.0,0.7,1.9,37.8,0.9,1.2,77.6,1.3,2.3,3.6,0.9,0.9,0.4,0.4,1.8,13.7,0.0,0.0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Sam Hauser,BOS,25,80,55,25,16.1,6.4,2.3,5.0,45.5,1.8,4.2,41.8,0.2,0.2,70.6,0.4,2.1,2.6,0.9,0.4,0.4,0.3,1.2,12.3,0.0,0.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Duncan Robinson,MIA,29,42,19,23,16.4,6.4,2.1,5.6,37.1,1.5,4.6,32.8,0.7,0.8,90.6,0.2,1.5,1.6,1.1,0.7,0.3,0.0,1.8,10.3,0.0,0.0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Dario Saric,OKC,29,57,26,31,14.1,6.4,2.2,4.9,45.8,0.8,2.0,39.1,1.1,1.3,82.9,0.9,2.7,3.6,1.3,1.0,0.4,0.1,1.7,13.1,2.0,0.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Simone Fontecchio,UTA,27,52,25,27,14.7,6.3,2.2,6.0,36.9,1.2,3.7,33.0,0.7,0.8,79.5,0.6,1.1,1.7,0.8,0.8,0.3,0.2,1.2,10.1,0.0,0.0,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Goran Dragic,MIL,37,58,27,31,15.0,6.3,2.4,5.8,42.1,0.9,2.5,35.9,0.5,0.8,68.9,0.3,1.1,1.4,2.6,1.1,0.2,0.1,1.1,11.7,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Quenton Jackson,WAS,24,9,3,6,15.0,6.2,2.1,4.7,45.2,0.1,1.3,8.3,1.9,2.4,77.3,0.2,0.7,0.9,1.7,0.4,0.4,0.1,1.1,11.0,0.0,0.0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Patrick Beverley,CHI,34,67,34,33,27.1,6.2,2.1,5.4,40.0,1.2,3.6,33.5,0.7,1.0,72.3,0.7,3.0,3.7,2.9,0.9,0.9,0.6,2.8,18.7,2.0,0.0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Jared Butler,OKC,22,6,3,3,12.8,6.2,2.5,5.3,46.9,1.2,2.3,50.0,0.0,0.0,0.0,0.2,0.5,0.7,1.3,0.8,0.8,0.0,0.8,10.6,0.0,0.0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Nickeil Alexander-Walker,MIN,24,59,29,30,15.0,6.2,2.2,5.0,44.4,1.0,2.7,38.4,0.7,1.0,66.7,0.3,1.5,1.7,1.8,0.9,0.5,0.4,1.5,12.7,0.0,0.0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Patty Mills,BKN,34,40,18,22,14.2,6.2,2.2,5.2,41.1,1.2,3.4,36.6,0.6,0.8,83.3,0.2,0.9,1.1,1.4,0.8,0.4,0.1,0.8,10.2,0.0,0.0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Nicolas Batum,LAC,34,78,44,34,21.9,6.1,2.1,4.9,42.0,1.6,4.1,39.1,0.4,0.6,70.8,0.8,3.0,3.8,1.6,0.6,0.7,0.6,1.9,16.2,0.0,0.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
