Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
TyTy Washington Jr.,HOU,21,31,6,25,14.0,4.7,1.9,5.2,36.3,0.6,2.6,23.8,0.3,0.6,55.6,0.1,1.4,1.5,1.5,0.5,0.5,0.1,0.9,9.9,0.0,0.0,-1.5
Malachi Flynn,TOR,25,53,29,24,13.0,4.6,1.6,4.6,36.0,0.9,2.5,35.3,0.5,0.6,75.8,0.3,1.2,1.4,1.3,0.5,0.4,0.1,1.2,9.3,0.0,0.0,-0.8
Gary Payton II,GSW,30,22,13,9,16.7,4.6,1.9,3.1,59.4,0.6,1.2,50.0,0.3,0.3,85.7,1.1,2.0,3.1,1.4,0.7,1.0,0.2,2.0,13.4,0.0,0.0,1.8
Dalano Banton,TOR,23,31,17,14,9.0,4.6,1.8,4.2,42.3,0.5,1.6,29.4,0.5,0.8,70.8,0.4,1.1,1.5,1.2,0.6,0.4,0.4,1.1,10.0,0.0,0.0,-1.1
Davis Bertans,DAL,30,45,20,25,10.9,4.6,1.5,3.6,43.1,1.2,3.1,39.0,0.3,0.3,86.7,0.2,1.0,1.2,0.5,0.2,0.2,0.2,1.2,7.7,0.0,0.0,-0.8
Kira Lewis Jr.,NOP,22,25,11,14,9.4,4.6,1.6,3.5,45.5,0.6,1.4,44.1,0.8,0.9,86.4,0.2,1.1,1.3,0.9,0.4,0.4,0.1,1.0,8.6,0.0,0.0,2.5
Justin Holiday,DAL,34,46,18,28,15.4,4.5,1.7,4.4,37.7,1.0,3.1,32.2,0.1,0.2,62.5,0.1,1.1,1.2,0.9,0.5,0.4,0.4,1.5,9.2,0.0,0.0,-2.8
Omer Yurtseven,MIA,25,9,5,4,9.2,4.4,1.8,3.0,59.3,0.3,0.8,42.9,0.6,0.7,83.3,0.9,1.7,2.6,0.2,0.4,0.2,0.2,1.8,8.7,0.0,0.0,1.1
Thaddeus Young,TOR,35,54,23,31,14.7,4.4,2.0,3.7,54.5,0.1,0.6,17.6,0.3,0.5,69.2,1.3,1.8,3.1,1.4,0.8,1.0,0.1,1.6,12.7,0.0,0.0,-1.7
JaVale McGee,DAL,35,42,20,22,8.4,4.4,1.9,3.0,64.0,0.0,0.1,40.0,0.6,1.0,58.5,0.7,1.8,2.5,0.3,0.9,0.1,0.6,1.3,9.2,0.0,0.0,-1.4
AJ Green,MIL,23,35,27,8,9.9,4.4,1.5,3.6,42.4,1.3,3.0,41.9,0.1,0.1,100,0.2,1.1,1.3,0.6,0.3,0.2,0.0,0.9,7.1,0.0,0.0,-0.7
Jarrett Culver,ATL,24,10,5,5,13.7,4.4,1.7,4.3,39.5,0.1,1.2,8.3,0.9,1.3,69.2,1.0,2.8,3.8,0.6,0.7,0.6,0.2,1.4,11.6,0.0,0.0,-1.9
Goga Bitadze,ORL,23,38,13,25,12.0,4.4,1.8,3.3,55.2,0.2,0.7,23.1,0.6,1.1,54.8,1.6,2.0,3.6,1.0,0.6,0.4,0.7,1.7,13.0,2.0,0.0,0.7
Haywood Highsmith,MIA,26,54,28,26,18.0,4.4,1.7,4.0,43.1,0.7,2.0,33.9,0.2,0.5,46.4,1.1,2.4,3.5,0.8,0.8,0.7,0.3,1.5,11.9,2.0,0.0,-1.9
Bismack Biyombo,PHX,30,61,33,28,14.3,4.3,2.0,3.4,57.8,0.0,0.0,0.0,0.4,1.1,35.7,1.5,2.8,4.3,0.9,0.8,0.3,1.4,1.9,15.2,3.0,0.0,0.8
Moses Brown,BKN,23,36,17,19,8.2,4.3,1.7,2.7,63.5,0.0,0.0,0.0,0.9,2.0,45.8,1.6,2.3,3.9,0.1,0.4,0.1,0.4,1.1,10.2,3.0,0.0,0.8
Justin Minaya,POR,24,4,0,4,22.2,4.3,1.8,5.8,30.4,0.8,3.0,25.0,0.0,0.3,0.0,0.8,3.0,3.8,1.0,1.0,0.5,1.3,2.3,14.5,0.0,0.0,-5.0
Michael Carter-Williams,ORL,31,4,1,3,11.1,4.3,1.5,3.5,42.9,0.3,0.8,33.3,1.0,1.8,57.1,0.3,1.0,1.3,1.8,1.0,0.3,0.3,1.3,8.9,0.0,0.0,-6.5
Xavier Sneed,CHA,25,4,0,4,12.1,4.3,1.3,2.5,50.0,0.8,1.5,50.0,1.0,1.0,100,0.0,1.3,1.3,1.3,0.8,0.0,0.3,1.8,7.6,0.0,0.0,-7.0
McKinley Wright IV,DAL,24,27,14,13,12.4,4.2,1.7,3.6,46.9,0.3,1.0,32.1,0.5,0.7,68.4,0.3,1.4,1.7,2.1,0.7,0.3,0.2,0.9,10.3,0.0,0.0,-4.1
Admiral Schofield,ORL,26,37,14,23,12.2,4.2,1.5,3.3,45.1,0.6,2.0,32.4,0.6,0.6,91.3,0.6,1.1,1.7,0.8,0.4,0.2,0.1,1.6,8.1,0.0,0.0,-2.1
Ish Wainright,PHX,28,60,33,27,15.3,4.2,1.4,3.8,37.0,1.0,2.9,32.9,0.4,0.5,83.9,0.8,1.6,2.3,0.9,0.4,0.6,0.4,2.0,10.9,0.0,0.0,1.5
Paul Reed,PHI,24,69,44,25,10.9,4.2,1.8,3.0,59.3,0.0,0.1,16.7,0.6,0.7,74.5,1.6,2.2,3.8,0.4,0.7,0.7,0.7,1.8,12.8,5.0,0.0,-0.2
Kevon Harris,ORL,26,34,12,22,13.4,4.1,1.4,3.1,43.9,0.5,1.3,37.2,0.9,1.2,75.6,0.8,1.2,2.1,0.5,0.6,0.5,0.1,1.6,8.6,0.0,0.0,0.0
Blake Griffin,BOS,34,41,27,14,13.9,4.1,1.5,3.2,48.5,0.6,1.6,34.8,0.5,0.8,65.6,1.1,2.6,3.8,1.5,0.5,0.3,0.2,1.8,12.1,0.0,0.0,2.6
Matisse Thybulle,POR,26,71,38,33,16.9,4.1,1.5,3.6,43.5,0.8,2.1,36.5,0.3,0.4,67.9,0.6,1.4,2.0,0.7,0.3,1.2,0.5,1.6,12.1,0.0,0.0,-0.2
Serge Ibaka,MIL,33,16,11,5,11.6,4.1,1.6,3.4,48.1,0.4,1.1,33.3,0.5,0.8,61.5,0.9,1.8,2.8,0.3,0.7,0.1,0.4,1.4,8.8,0.0,0.0,-1.6
